Repository,Component Type,Ecosystem,Name,Version,Dependency Scope,Relationship,License,PURL or Reference,Metadata Source,Notes
workspace,application,first-party,frontend,0.16.0,runtime,root component,LGPL-3.0-or-later,pkg:npm/frontend@0.16.0,workspace/package.json,First-party repository component.
workspace,container,OCI container,nginxinc/nginx-unprivileged,alpine (not digest pinned),runtime,referenced runtime software,BSD-2-Clause (NGINX); container includes additional licenses,oci:nginxinc/nginx-unprivileged:alpine,workspace/Dockerfile,Production image serving the generated static site; packages inside the image are not expanded.
workspace,container,OCI container,node,22-alpine (not digest pinned),build,referenced build software,MIT (Node.js); container includes additional licenses,oci:node:22-alpine,workspace/Dockerfile,Builder base image; packages inside the image are not expanded.
workspace,application,npm CLI,pnpm,not pinned,build,referenced build software,MIT,pkg:npm/pnpm@not-pinned,workspace/Dockerfile,Package manager enabled through Corepack during the container build; package.json does not pin a pnpm version.
workspace,library,npm,@astrojs/compiler,2.13.1,build,transitive build dependency,MIT,pkg:npm/%40astrojs/compiler@2.13.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@astrojs/internal-helpers,0.7.6,build,transitive build dependency,MIT,pkg:npm/%40astrojs/internal-helpers@0.7.6,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@astrojs/markdown-remark,6.3.11,build,transitive build dependency,MIT,pkg:npm/%40astrojs/markdown-remark@6.3.11,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@astrojs/prism,3.3.0,build,transitive build dependency,MIT,pkg:npm/%40astrojs/prism@3.3.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@astrojs/react,4.4.2,build,direct build dependency,MIT,pkg:npm/%40astrojs/react@4.4.2,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@astrojs/telemetry,3.3.0,build,transitive build dependency,MIT,pkg:npm/%40astrojs/telemetry@3.3.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
